Num,default,Total_assets,Total_income,PAT_as_%_of_total_income,PBDITA_as_%_of_total_income,PBT_as_%_of_total_income,Cash_profit_as_%_of_total_income,Current_ratio,Debt_to_equity_ratio
39,1,134.4,144.8,-18.2320442,-4.281767956,-18.2320442,-12.15469613,0.61,3.02
40,1,714,340,-2.647058824,21.41176471,-4.794117647,6.794117647,1.83,1.8
41,1,506.5,842.6,-1.744600047,5.126987895,-1.59031569,-0.04747211,1.39,0.36
42,1,442.1,471.6,-10.4749788,-4.542196777,-10.93214589,-8.472434266,0.77,5.04
43,1,147,24.1,-4.979253112,21.16182573,6.639004149,20.74688797,15.41,0
44,1,282.4,298.2,2.380952381,12.74312542,4.124748491,4.426559356,1.36,0.72
45,1,87.7,225.3,4.482911673,7.101642255,5.326231691,5.725699068,1.46,0
46,1,80.6,17.6,-47.72727273,-17.61363636,-47.72727273,-21.02272727,1.14,8
47,1,97.1,52.3,-5.736137667,3.632887189,-5.736137667,-5.544933078,0.57,4.36
48,1,311.1,79.5,-44.52830189,-3.773584906,-52.83018868,-20.12578616,0.41,90.9441
49,1,141,6.5,-366.1538462,-30.76923077,-366.1538462,-6.153846154,0.32,6.18
50,1,182.8,133.7,-17.95063575,9.573672401,-17.95063575,1.047120419,5.16,79.57
51,1,208.1,280.2,-0.785153462,1.748750892,-5.353319058,-2.391149179,1.59,90.9441
52,1,329.1,812,-0.578817734,-0.172413793,-0.603448276,-0.221674877,0.78,0
53,1,25.9,67.9,-35.1988218,-25.47864507,-34.90427099,-29.74963181,0.53,16.75
54,1,46.8,11.8,-14.40677966,0,-14.40677966,0,2.11,10.64
55,1,88.6,83.4,-2.877697842,0.35971223,-17.26618705,-12.58992806,0.5,3.13
56,1,126.3,45.4,0.660792952,22.02643172,0.660792952,6.387665198,0.55,7.07
57,1,341.5,255.4,2.740798747,20.04698512,4.502740799,-14.40877056,0.66,3.3
58,1,86.8,162.6,0.24600246,9.963099631,2.521525215,5.658056581,1.15,2.2
59,1,228.8,44.6,-19.28251121,4.932735426,-19.28251121,-30.94170404,0.67,0.66
60,1,14.6,0.3,-33.33333333,33.33333333,-33.33333333,-33.33333333,0,5.71
61,1,176.5,1,-90,60,-90,60,0.52,4.86
62,1,87.9,316.3,-2.782168827,0.853619981,-2.750553272,-1.296237749,0.96,12.7
63,1,135.5,13.4,-91.79104478,-47.01492537,-91.79104478,-48.50746269,0.93,7.16
64,1,76.3,57.9,-10.01727116,0.518134715,-10.01727116,-7.772020725,2.12,4.02
65,1,102.6,45.6,-11.18421053,10.96491228,-11.18421053,-4.605263158,1.24,5.65
66,1,26.6,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0,1
67,1,298.9,498.1,3.051596065,10.98173058,3.051596065,6.765709697,0.7,22.16
68,1,114.1,242.1,-10.94589013,-8.847996696,-10.90458488,-10.69805865,1.16,0
69,1,222.4,429.8,-2.000930665,-0.628199162,-2.187063751,-1.582131224,1.26,6.65
70,1,85,22.6,-12.38938053,-7.522123894,-12.38938053,-11.0619469,0.58,32.25
71,1,244.2,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0.11,2.08
72,1,23,0.5,-480,-480,-480,-480,0.86,3.71
73,1,52.6,47.2,-13.77118644,-4.237288136,-13.55932203,-12.71186441,0.24,4.56
74,1,108.8,68,0.882352941,7.205882353,-2.941176471,16.02941176,0.31,29.1
75,1,16.3,0.1,-2000,0,-2000,-2100,0.16,0
76,1,102.3,92.1,-8.903365907,1.845819761,-8.903365907,-5.320304017,0.4,5.5
77,1,57,62.2,-2.090032154,8.520900322,-1.446945338,1.125401929,0.8,13
78,1,59.6,1,-2290,-60,-2290,-2180,0.17,7
79,1,56.4,428.1425806,-0.023356705,-0.023356705,-0.023356705,-0.023356705,0,0.04
80,1,462.2,517.1,-1.257010249,2.630052214,-1.469735061,0.232063431,1.09,56.5
81,1,289.8,106.6,1.313320826,12.28893058,2.251407129,6.941838649,0.63,1.84
82,1,12.9,31,-7.419354839,-6.774193548,-10.32258065,-10.32258065,0.92,4.23
83,1,87.8,152.9,-5.951602354,0.850228908,-5.820797907,-5.951602354,0.95,6.09
84,1,14.7,1,-560,-510,-560,-510,0.85,87
85,1,69.7,225.8,80.43179805,99.37998229,92.3826395,13.02037201,0.16,0
86,1,37.9,43.6,-2.52293578,10.55045872,-2.52293578,9.633027523,0.24,31
87,1,50.6,16.8,-53.57142857,7.738095238,-53.57142857,-16.07142857,1.27,38.75
88,1,36.5,9.7,-25.77319588,10.30927835,-25.77319588,10.30927835,1.98289977,65.4
89,1,617.3,380.9,0.02625361,12.33919664,0.02625361,5.828301391,1.35,1.62
90,1,43.6,5.9,-150.8474576,50.84745763,-138.9830508,-61.01694915,2.71,5.42
91,1,8.3,428.1425806,-0.023356705,-0.023356705,-0.023356705,-0.023356705,0.06,0.71
92,1,6.6,12.7,2.362204724,4.724409449,2.362204724,3.149606299,0.05,0.17
93,1,23.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,90.9441
94,1,557.7,790.2,2.961275626,12.23740825,3.201721083,2.25259428,0.75,3.74
95,1,136.7,77.4,-11.11111111,1.42118863,-11.11111111,-1.162790698,0.15,0.3
96,1,25.2,24,-3.333333333,10.83333333,-5.416666667,3.75,0.71,1.25
97,1,31.5,1.3,15.38461538,61.53846154,15.38461538,-38.46153846,0.26,19.09
98,1,60.9,41.6,-2.403846154,7.692307692,0,-0.240384615,0.27,1.76
99,1,85.1,75.6,-7.407407407,-2.380952381,-9.523809524,-52.64550265,0.89,1.26
100,1,41.7,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,5,0.1
101,1,68.3,0.7,-4357.142857,-1442.857143,-2042.857143,-1528.571429,0.71,0.5
102,1,7.1,9.6,-184.375,-138.5416667,-196.875,-156.25,1.29,7.6
103,1,23.3,0.4,-1175,-425,-1050,-650,2,9.59
104,1,120,13.9,-66.90647482,-12.94964029,-64.74820144,-52.51798561,3.79,7.21
105,1,82.6,1,-500,-420,-500,-430,0.18,1.31
106,1,185,269.1,-5.425492382,-1.412114456,-4.719435154,-2.081010777,0.91,16.51
107,1,160.5,44.9,-35.85746102,-12.47216036,-39.86636971,-37.19376392,0.33,38
108,1,37.8,77,-4.285714286,5.454545455,-4.285714286,0.25974026,1.57,34.4
109,1,68.4,101.5,0.295566502,4.926108374,0.39408867,2.266009852,0.87,5.37
110,1,5.9,428.1425806,-0.023356705,-0.023356705,-0.023356705,-0.023356705,0.87,0
111,1,50.8,42.9,-58.50815851,7.459207459,-58.27505828,0,1.95,9.66
112,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
113,1,103,113.2,-5.830388693,1.766784452,-5.565371025,-4.681978799,0.69,8.3
114,1,345.7,428.1425806,-2.802804613,-1.775109588,-2.802804613,-2.24224369,0.74,9.81
115,1,374.3,428.1425806,-0.794127974,-0.023356705,-0.794127974,-0.794127974,0,90.9441
116,1,52,9.8,-33.67346939,41.83673469,-33.67346939,2.040816327,2.08,90.9441
117,1,45.8,96.3,-4.569055036,-1.246105919,-4.569055036,-1.349948079,0.64,0.24
118,1,341.5,2.4,-2148.166667,-12.5,-2148.166667,-1664.833333,0.01,8.55
119,1,486.6,423.1,-12.18529898,-5.062869298,-12.18529898,-9.443630347,0.2,0.74
120,1,2.3,0.2,-400,-400,-400,-400,1.98289977,0
121,1,19.3,1.2,-33.33333333,-25,-33.33333333,-125,8.08,8.61
122,1,11.5,1.7,-76.47058824,-29.41176471,-76.47058824,-41.17647059,0.3,0.07
123,1,58.5,140.4,1.282051282,7.407407407,1.424501425,2.421652422,1.1,1.29
124,1,32.7,51.1,-2.739726027,3.522504892,-5.088062622,0.195694716,2.66,90.9441
125,1,135.2,144.3,69.50796951,80.31878032,69.50796951,76.16077616,0.86,4.82
126,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
127,1,0.5,428.1425806,-0.023356705,-0.023356705,-0.023356705,-0.023356705,1.98289977,0
128,1,1,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
129,1,20.1,26.1,-3.0651341,6.896551724,-4.214559387,3.0651341,0.64,2.64
130,1,26.4,3.8,-21.05263158,10.52631579,-21.05263158,-5.263157895,0.89,8.18
131,1,77.1,49.8,-4.21686747,0,-4.21686747,-0.200803213,1.6,10
132,1,3.2,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0.25,6
133,1,79,0.1,-2600,-2600,-2600,-2700,0.34,70.5
134,1,4.4,0.1,-400,-400,-400,-400,1.75,0.33
135,1,39.2,0.1,0,0,0,0,18.79,90.9441
136,1,65.6,25.3,-32.41106719,-7.90513834,-32.01581028,-8.300395257,1.94,19.6
137,1,89.8,128.3,-3.741231489,5.144193297,-4.36477007,0.623538581,3.8,6.03
138,1,4.9,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,4.2
139,1,44.3,52.7,-2.277039848,5.5028463,-2.277039848,0,0.89,7.28
140,1,9.5,6.7,-53.73134328,-47.76119403,-53.73134328,-50.74626866,0.86,0.67
141,1,3.9,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
142,1,60.6,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0.04,47.2
143,1,368.3,245.4,-2.363488183,15.40342298,-1.95599022,6.601466993,0.94,6.78
144,1,7.8,3.1,70.96774194,80.64516129,70.96774194,80.64516129,0.33,3.57
145,1,34.5,15.8,52.53164557,72.78481013,52.53164557,72.15189873,3,10.93
146,1,141.3,146.8,-4.632152589,0.953678474,-5.926430518,-4.359673025,0.94,3.96
147,1,30.3,61.3,-8.646003263,-4.4045677,-8.646003263,-6.851549755,0.66,1.21
148,1,28,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0,0.86
149,1,21.8,6.8,-70.58823529,-60.29411765,-70.58823529,-61.76470588,1.02,0.27
150,1,43,428.1425806,-1.214548666,-0.607274333,-1.214548666,-0.630631038,0,17
151,1,4.1,8.1,-6.172839506,-1.234567901,-6.172839506,-3.703703704,0.71,19
152,1,17.6,19.5,-46.66666667,-40.51282051,-46.66666667,-42.56410256,1.63,1.36
153,1,84.1,139.7,0.429491768,6.156048676,0.787401575,0.357909807,1.22,2.17
154,1,8.2,428.1425806,-0.04671341,-0.04671341,-0.04671341,-0.04671341,0,26
155,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
156,1,1.7,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,16
157,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
158,1,1,0.8,50,75,50,75,7,0
159,1,484.2,218.3,-2.656894182,12.09344938,1.694915254,3.985341273,1.42,11.01
160,1,84.3,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0,0
161,1,2.3,428.1425806,0,0,0,0,1.98289977,22
162,1,14.2,428.1425806,0,0,0,0,1.02,1.1
163,1,1.2,0.3,0,0,0,0,1.8,2.5
164,1,1.4,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.4,0
165,1,46,0.8,0,100,12.5,100,0.17,0
166,1,20.9,42.6,-3.051643192,4.694835681,-3.051643192,0.938967136,0.9,6.22
167,1,9.2,2.8,-21.42857143,3.571428571,-21.42857143,3.571428571,0.19,0
168,1,5,428.1425806,-0.023356705,0,-0.023356705,0,0.91,8
169,1,4.8,428.1425806,-0.186853641,0,-0.186853641,0,0.11,7.4
170,1,4.1,11,0.909090909,7.272727273,0.909090909,5.454545455,0.62,0.46
171,1,7.1,1.6,-12.5,12.5,0,6.25,1,20
172,1,2.3,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0,0.11
173,1,47.4,428.1425806,0,0.724057858,0,0,18.79,90.9441
174,1,2.3,0.5,-20,0,-20,0,0.42,1
175,1,0.6,428.1425806,-4.064066689,-4.064066689,-4.064066689,-4.064066689,2,0
176,1,10.9,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,90.9441
177,1,22.9,3.7,-59.45945946,10.81081081,-56.75675676,8.108108108,2.79,74.67
178,1,1.8,1.5,-26.66666667,-40,-53.33333333,-40,0.5,4
179,1,44.8,0.4,-350,-50,-350,-50,0.01,0.04
180,1,226.2,0.8,-2637.5,37.5,-2637.5,12.5,0.41,2.82
181,1,2275.971,3449.826,5.264468411,10.38066847,7.011918862,7.216219021,0.65,0.83
182,1,2275.971,3449.826,-1.494452184,-0.620929867,-1.494452184,-1.158203341,0.49,1
183,1,2275.971,3449.826,1.362387552,7.536611991,1.518917186,5.664053781,1.6,0.41
184,1,1493.2,953.2,2.664708351,8.697020562,4.122954259,6.955518254,1.51,0
185,1,236.1,313.4,0.701978302,8.487555839,1.244416082,3.892788768,1.3,2.61
186,1,0.6,1.4,0,7.142857143,0,7.142857143,1,4
187,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
188,1,5.8,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0.04,32
189,1,1.4,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0,8
190,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
191,1,11,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,90.9441
192,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
193,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
194,1,2.1,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0,0
195,1,0.7,0.4,25,25,25,25,0.25,0
196,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
197,1,6.6,428.1425806,0,0,0,0,2.33,32
198,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
199,1,2.4,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,5
200,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0,0
201,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
202,1,1.3,0.1,0,0,0,0,5,1.2
203,1,2.4,0.1,0,0,0,0,1.33,0.2
204,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0.33
205,1,0.9,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
206,1,1,3.6,0,0,0,0,1.98289977,0
207,1,1.2,0.2,0,0,0,0,5,0
208,1,1.1,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
209,1,1.4,1.5,6.666666667,13.33333333,13.33333333,6.666666667,3,0
210,1,17.8,15.5,0.64516129,11.61290323,1.290322581,3.225806452,0.59,12.08
211,1,8,1.2,0,16.66666667,0,8.333333333,0.51,2.75
212,1,2.1,0.5,-80,-20,-80,-20,1.98289977,0
213,1,0.8,0.1,100,100,100,100,1.98289977,1
214,1,1.6,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0.5,0
215,1,190.1,92.9,-20.88266954,-11.30247578,-20.3444564,-15.39289559,0.3,90.9441
216,1,6.7,9.8,1.020408163,9.183673469,2.040816327,5.102040816,5.29,3
217,1,32.8,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,18.79,0
218,1,2.4,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
219,1,1.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
220,1,1.7,1,0,0,0,0,5,0
221,1,26.3,51.6,-0.387596899,1.162790698,-0.775193798,0.19379845,0.84,2.33
222,1,1.6,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
223,1,1.8,0.1,100,100,100,100,1.98289977,0
224,1,11.6,428.1425806,0,0,0,0,1.18,0
225,1,1.8,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
226,1,3.2,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0,0.58
227,1,2,0.2,0,0,0,0,10,0
228,1,12.9,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,4.16
229,1,82.5,16,-70,15,-94.375,-28.75,1.09,40.53
230,1,2.3,0.1,0,100,0,100,1.98289977,0.15
231,1,30.3,2.2,-172.7272727,86.36363636,-172.7272727,-259.0909091,1.06,3.81
232,1,8.7,16.8,1.785714286,11.30952381,1.19047619,7.142857143,1.04,2.18
233,1,26,0.3,33.33333333,33.33333333,33.33333333,33.33333333,0,0.56
234,1,9.3,19.2,-5.729166667,-0.520833333,-4.6875,-2.604166667,0.45,0.15
235,1,8,12.3,3.25203252,8.130081301,4.06504065,7.317073171,2,1.19
236,1,8.4,12.9,2.325581395,9.302325581,3.100775194,5.426356589,1.11,2.36
237,1,25.5,48.4,1.239669421,8.26446281,2.272727273,3.305785124,4.84,12.56
238,1,2.3,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,5,0
239,1,2.2,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
240,1,6.9,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0.76,0
241,1,2.6,0.3,33.33333333,33.33333333,33.33333333,0,18.79,0.04
242,1,2.3,0.2,0,0,0,0,1.98289977,0
243,1,27.7,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,10.5
244,1,2.2,1.4,21.42857143,21.42857143,21.42857143,21.42857143,14,0
245,1,5.8,428.1425806,-0.023356705,-0.023356705,-0.023356705,-0.023356705,0.61,0
246,1,2.4,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.25,0
247,1,8.5,24.7,0.4048583,0.809716599,0.809716599,0.4048583,0.26,0
248,1,3.6,12.1,-7.438016529,17.3553719,-7.438016529,15.70247934,13,0
249,1,11.1,8.4,4.761904762,21.42857143,4.761904762,9.523809524,0.21,3.84
250,1,4.1,0.2,150,100,0,100,0.25,0.14
251,1,2.6,428.1425806,-2.966301549,-2.919588138,-2.966301549,-2.919588138,1.98289977,0
252,1,2.7,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
253,1,46.6,30.5,2.62295082,9.508196721,2.62295082,-14.75409836,1.04,6.15
254,1,18.8,16.9,0.591715976,10.0591716,0.591715976,5.917159763,1.72,1.87
255,1,23.1,38.6,8.29015544,12.43523316,8.549222798,10.10362694,0.53,1.19
256,1,10.5,22.1,4.07239819,4.524886878,4.07239819,4.524886878,0.91,0.15
257,1,2.8,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
258,1,2.9,1,-280,-280,-280,-380,0,0
259,1,2.9,0.1,-100,-100,-100,-100,1.98289977,0
260,1,124.8,75.1,2.130492676,21.70439414,3.328894807,12.51664447,0.52,15.9
261,1,5.9,5.6,10.71428571,17.85714286,10.71428571,14.28571429,1.81,0.61
262,1,9.7,21.7,2.304147465,7.834101382,4.147465438,5.529953917,0.88,0
263,1,4.6,9.5,3.157894737,5.263157895,3.157894737,5.263157895,1.81,0.58
264,1,8.1,9.7,38.1443299,58.7628866,40.20618557,56.70103093,0.12,0.15
265,1,23.6,5,10,22,10,22,1.18,3.16
266,1,27.4,51.2,1.3671875,9.9609375,1.5625,6.640625,1.07,11.82
267,1,7.1,28.1,1.067615658,1.779359431,1.779359431,1.067615658,1.61,0
268,1,3.7,9.8,0,1.020408163,0,0,1.09,0
269,1,42.1,26.3,-13.68821293,-8.745247148,-15.96958175,-10.64638783,3.45,15.05
270,1,14.9,24.7,1.214574899,8.097165992,1.214574899,3.238866397,0.81,2.09
271,1,13.4,10.4,0.961538462,14.42307692,1.923076923,1.923076923,1.13,2.94
272,1,13.1,25.3,0,6.719367589,0,3.557312253,0.55,2.27
273,1,87.9,101.3,-2.961500494,1.085883514,-2.961500494,-1.678183613,1.23,2.75
274,1,11,12.1,1.652892562,2.479338843,1.652892562,2.479338843,0.54,0.15
275,1,5.6,17.3,-2.312138728,3.468208092,-3.468208092,-0.578034682,5.4,0.72
276,1,4.9,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0,0.41
277,1,4.3,2.8,14.28571429,21.42857143,14.28571429,21.42857143,5.2,0.09
278,1,8.7,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0.48,1.42
279,1,9.1,10.5,6.666666667,16.19047619,9.523809524,9.523809524,0.46,1.96
280,1,3.8,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0,0
281,1,21.8,32,-1.875,0.625,-0.625,0.625,1.07,0.89
282,1,9.5,13,9.230769231,13.07692308,10,10,1.11,2
283,1,5.2,11.1,4.504504505,7.207207207,7.207207207,4.504504505,2.18,0.3
284,1,19,24.6,0.81300813,8.130081301,0.81300813,4.471544715,1.57,3.32
285,1,88.2,44.5,0.449438202,5.842696629,0.449438202,1.797752809,0.41,3.84
286,1,27.6,6.8,-19.11764706,30.88235294,-19.11764706,30.88235294,0.71,1.42
287,1,9.7,5,26,46,34,34,2.37,0.98
288,1,4.1,0.4,50,100,100,50,0.04,0
289,1,3.9,0.3,0,33.33333333,0,33.33333333,1.98289977,0
290,1,7.4,13.3,-9.77443609,-3.007518797,-10.52631579,-6.766917293,1.26,0.57
291,1,4.4,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,5.2,0
292,1,4.2,1.8,-5.555555556,94.44444444,0,0,3,0
293,1,9.5,5.7,7.01754386,28.07017544,7.01754386,17.54385965,13.67,1.31
294,1,18.8,22.1,-0.452488688,10.40723982,-0.452488688,4.524886878,1.06,2.33
295,1,12.3,19.8,-2.02020202,-0.505050505,-1.515151515,-3.03030303,1.95,0.09
296,1,10.1,4.6,-41.30434783,-15.2173913,-36.95652174,-21.73913043,0.23,0.84
297,1,25,8.5,-12.94117647,7.058823529,-20,-18.82352941,0.8,7.65
298,1,5.6,3,-13.33333333,-6.666666667,-13.33333333,-6.666666667,2,0.03
299,1,4.5,6.8,5.882352941,10.29411765,8.823529412,7.352941176,4.5,0.03
300,1,12,7.8,1.282051282,11.53846154,2.564102564,7.692307692,1.6,1.45
301,1,3.4,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
302,1,5.3,8.1,7.407407407,13.58024691,9.87654321,12.34567901,2.06,0.24
303,1,8.6,3,13.33333333,26.66666667,16.66666667,26.66666667,0.67,0
304,1,12.6,31.5,3.80952381,8.571428571,7.301587302,4.761904762,1.66,1.47
305,1,13.2,17.7,-0.564971751,7.344632768,-1.129943503,2.259887006,1.75,1.68
306,1,13.3,16.5,1.212121212,3.636363636,1.212121212,3.636363636,6.31,1.79
307,1,15.2,11.4,7.01754386,6.140350877,-3.50877193,0.877192982,1.39,1.14
308,1,4.6,428.1425806,-0.023356705,0,-0.023356705,0,1.98289977,0
309,1,21.9,36.2,1.38121547,4.972375691,1.657458564,3.038674033,1.06,1.35
310,1,6.3,12.8,2.34375,3.90625,3.90625,1.5625,0.62,0
311,1,33.9,34.7,-2.88184438,3.170028818,-2.88184438,0.576368876,3.28,13
312,1,14.5,11.3,1.769911504,9.734513274,1.769911504,7.079646018,1.79,1.76
313,1,15,21.4,1.869158879,9.345794393,1.869158879,5.140186916,2.53,1.79
314,1,4.2,6.2,4.838709677,9.677419355,6.451612903,8.064516129,4.25,0
315,1,17.7,1.4,-107.1428571,-50,-107.1428571,-50,0.35,0.58
316,1,4.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
317,1,8.4,12.2,5.737704918,22.95081967,6.557377049,20.49180328,4.15,1.09
318,1,7.9,1.1,18.18181818,54.54545455,36.36363636,36.36363636,4.56,0
319,1,7.6,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0.65
320,1,70.9,39.9,0.250626566,3.759398496,0.250626566,2.506265664,0.77,12.7
321,1,4.6,0.1,0,0,0,0,18.79,0
322,1,14.1,0.2,-650,-50,-650,-50,10.5,0.01
323,1,13.8,7.3,-28.76712329,-4.109589041,-20.54794521,-8.219178082,0.42,1.58
324,1,13.3,26.2,1.526717557,2.671755725,1.526717557,1.908396947,1.63,0.53
